5 5
5 6
5 7
5 8
5 9
5 10
5 11
5 12
5 13
5 14
5 15
5 16
5 17
5 18
5 19
5 20
5 21
5 22
5 23
5 24
5 25
5 26
5 27
5 28
5 29
5 30
5 31
5 32
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 14
6 15
6 16
6 17
6 18
6 19
6 20
6 21
6 22
6 23
6 24
6 25
6 26
6 27
6 28
6 29
6 30
6 31
6 32
7 5
7 6
7 7
7 8
7 9
7 10
7 11
7 12
7 13
7 14
7 15
7 16
7 17
7 18
7 19
7 20
7 21
7 22
7 23
7 24
8 5
8 6
8 7
8 8
8 9
8 10
8 11
8 12
8 13
8 14
8 15
8 16
8 17
8 18
8 19
8 20
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
9 13
9 14
9 15
9 16
9 17
9 18
10 5
10 6
10 7
10 8
10 9
10 10
10 11
10 12
10 13
10 14
10 15
10 16
10 17
11 5
11 6
11 7
11 8
11 9
11 10
11 11
11 12
11 13
11 14
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
12 13
13 5
13 6
13 7
13 8
13 9
13 10
13 11
13 12
14 5
14 6
14 7
14 8
14 9
14 10
14 11
15 5
15 6
15 7
15 8
15 9
15 10
16 5
16 6
16 7
16 8
16 9
16 10
17 5
17 6
17 7
17 8
17 9
17 10
18 5
18 6
18 7
18 8
18 9
19 5
19 6
19 7
19 8
20 5
20 6
20 7
20 8
21 5
21 6
21 7
22 5
22 6
22 7
23 5
23 6
23 7
24 5
24 6
24 7
25 5
25 6
26 5
26 6
27 5
27 6
28 5
28 6
29 5
29 6
30 5
30 6
31 5
31 6
32 5
32 6
